City,State,LATITUDE,LONGITUDE,Country
Araguari,MG,"-18,648270","-48,191605",Brazil
Uruguaiana,RS,"-29,759823","-57,081825",Brazil
Umuarama,PR,"-23,763950","-53,308460",Brazil
Itaguaí,RJ,"-22,871251","-43,775041",Brazil
Formosa,GO,"-15,540945","-47,335816",Brazil
São Gonçalo do Amarante,RN,"-3,605633","-38,972076",Brazil
Catanduva,SP,"-21,139539","-48,975871",Brazil
Várzea Paulista,SP,"-23,214467","-46,829890",Brazil
Ribeirão Pires,SP,"-23,707423","-46,415344",Brazil
Igarassu,PE,"-7,828372","-34,910583",Brazil
Simões Filho,BA,"-12,783941","-38,411519",Brazil
Catalão,GO,"-18,169573","-47,947703",Brazil
Codó,MA,"-4,451338","-43,886080",Brazil
Eunápolis,BA,"-16,375167","-39,584172",Brazil
Itabira,MG,"-19,638169","-43,223952",Brazil
Paulo Afonso,BA,"-9,403332","-38,218329",Brazil
Itanhaém,SP,"-24,186121","-46,790991",Brazil
Cubatão,SP,"-23,883839","-46,420032",Brazil
Passos,MG,"-20,719212","-46,611413",Brazil
Marituba,PA,"-1,346417","-48,340536",Brazil
Nova Lima,MG,"-19,983893","-43,849783",Brazil
Araxá,MG,"-19,591330","-46,940010",Brazil
São Lourenço da Mata,PE,"-7,995938","-35,041278",Brazil
Sorriso,MT,"-12,551777","-55,725914",Brazil
Paulínia,SP,"-22,759922","-47,154386",Brazil
Tubarão,SC,"-28,480034","-49,005268",Brazil
Itumbiara,GO,"-18,417682","-49,220870",Brazil
Luís Eduardo Magalhães,BA,"-12,078372","-45,800464",Brazil
Santana,AP,"-0,038373","-51,172846",Brazil
Cambé,PR,"-23,281632","-51,277728",Brazil
Breves,PA,"-1,690737","-50,480895",Brazil
Açailândia,MA,"-4,951377","-47,506665",Brazil
Tangará da Serra,MT,"-14,623785","-57,491299",Brazil
Jataí,GO,"-17,886232","-51,720818",Brazil
Erechim,RS,"-27,633406","-52,275877",Brazil
Nova Serrana,MG,"-19,875867","-44,985579",Brazil
Paragominas,PA,"-2,994191","-47,356962",Brazil
Maranguape,CE,"-3,891869","-38,685851",Brazil
Planaltina,GO,"-15,453110","-47,614847",Brazil
Lavras,MG,"-21,242870","-44,999931",Brazil
Coronel Fabriciano,MG,"-19,525053","-42,624347",Brazil
Muriaé,MG,"-21,132047","-42,361075",Brazil
São Pedro da Aldeia,RJ,"-22,837203","-42,103529",Brazil
Ourinhos,SP,"-22,977268","-49,868580",Brazil
Novo Gama,GO,"-16,056078","-48,037211",Brazil
Poá,SP,"-23,528627","-46,346220",Brazil
Bacabal,MA,"-4,231525","-44,781556",Brazil
Itacoatiara,AM,"-3,140379","-58,440175",Brazil
Itabaiana,SE,"-7,330932","-35,337533",Brazil
Ubá,MG,"-21,118597","-42,936786",Brazil
Patos,PB,"-7,024492","-37,276913",Brazil
Camboriú,SC,"-27,026456","-48,649996",Brazil
Santo Antônio de Jesus,BA,"-12,968008","-39,261131",Brazil
Ituiutaba,MG,"-18,973068","-49,462235",Brazil
Manacapuru,AM,"-3,298278","-60,620589",Brazil
Balsas,MA,"-7,531170","-46,038993",Brazil
Lagarto,SE,"-10,915301","-37,666353",Brazil
Assis,SP,"-22,662835","-50,417510",Brazil
Itaperuna,RJ,"-21,210591","-41,886203",Brazil
